"difference","startDate","startSentiment","endSentiment","endDate","ticker","startCount","endCount","countRatio","countSlope","changeInSentimentSlope","normalizedCountSlope","normalizedSentimentSlope","normalizedDifference","normalizedCountRatio","priceOnStartDate","priceOnEndDate","priceOnEndDate3","priceOnEndDate7","priceOnEndDate15","priceOnEndDate30","decision"
"-14","2016-01-01","16","2","2016-01-03","atvi","9","1","0.1111111111111111","4","-7","0.5236363636363637","0.47635135135135137","0.4527027027027027","0.0003765777500143985","37.619999","37.619999","36.790001","36.209999","35.150002","33.419998","do nothing"
"-14","2016-01-11","14","0","2016-01-12","nflx","29","1","0.034482758620689655","28","-14","0.5672727272727273","0.4527027027027027","0.4527027027027027","0.000107702764202901","114.970001","116.580002","104.040001","107.889999","91.150002","86.349998","do nothing"
"-14","2016-01-08","13","-1","2016-01-09","twtr","48","1","0.020833333333333332","47","-14","0.6018181818181818","0.4527027027027027","0.4527027027027027","0.000059809407355228","19.98","19.65","19.620001","16.690001","17.02","14.9","do nothing"
"-14","2016-01-06","14","0","2016-01-08","avxl","5","3","0.6","1","-7","0.5181818181818182","0.47635135135135137","0.4527027027027027","0.002092000159491753","5.11","4.6","5.16","4.01","4.12","4.32","do nothing"
"-14","2016-01-13","12","-2","2016-01-20","ears","11","1","0.09090909090909091","1.4285714285714286","-2","0.518961038961039","0.49324324324324326","0.4527027027027027","0.0003056925264822765","4.96","4.23","4.22","4.72","4.19","4.29","do nothing"
"-14","2016-01-28","14","0","2016-01-30","ads","8","1","0.125","3.5","-7","0.5227272727272727","0.47635135135135137","0.4527027027027027","0.0004253113411927325","199","206.559998","194.289993","183.740005","187.490005","210.130005","do nothing"
"-13","2016-01-07","7","-6","2016-01-08","amzn","6","10","1.6666666666666667","-4","-13","0.509090909090909","0.4560810810810811","0.4560810810810811","0.005834739961987799","607.940002","607.049988","617.73999","570.179993","596.530029","488.100006","do nothing"
"-13","2016-01-29","18","5","2016-01-30","amzn","6","16","2.6666666666666665","-10","-13","0.49818181818181817","0.4560810810810811","0.4560810810810811","0.00934355852682784","587","574.809998","552.099976","488.100006","521.099976","552.52002","do nothing"
"-13","2016-01-29","0","-13","2016-01-30","bac","1","11","11","-10","-13","0.49818181818181817","0.4560810810810811","0.4560810810810811","0.0385837132338282","14.14","13.96","13.23","12.27","12.25","12.52","do nothing"
"-13","2016-01-30","11","-2","2016-01-31","s","1","2","2","-1","-13","0.5145454545454545","0.4560810810810811","0.4560810810810811","0.007004346150267813","3.07","3.07","2.84","2.55","2.79","3.47","do nothing"
